lat,lon,RSSI_1,RSSI_2,RSSI_3,RSSI_4,RSSI_5,RSSI_6
-8.065811,-34.890656,-80.0066666667,-82.14,-82.0066666667,-76.4566666667,-62.69,-65.54
-8.066189,-34.896839,-73.99,-41.09,-65.2566666667,-55.39,-66.0566666667,-34.7233333333
-8.07478,-34.890759,-62.0233333333,-70.09,-68.9566666667,-43.0566666667,-78.7566666667,-91.29
-8.063355,-34.886578,-68.0233333333,-86.49,-82.99,-81.99,-84.2233333333,-89.6566666667
-8.065565,-34.887104,-62.44,-76.965,-70.465,-69.24,-66.14,-77.915
-8.068648,-34.896412,-59.49,-62.89,-60.34,-50.29,-63.89,-49.24
-8.066417,-34.895592,-62.79,-66.1233333333,-71.0233333333,-65.7566666667,-61.49,-45.1233333333
-8.074844,-34.890968,-56.765,-67.465,-68.84,-40.89,-72.615,-89.94
-8.073983,-34.900448,-63.54,-59.49,-62.94,-67.69,-85.94,-84.59
-8.077371,-34.89938,-72.59,-55.4566666667,-71.09,-80.4566666667,-77.1566666667,-89.4566666667
-8.075326,-34.900059,-68.09,-58.14,-64.34,-78.59,-84.29,-79.24
-8.075809,-34.89991,-66.5233333333,-65.19,-71.6233333333,-71.59,-78.7233333333,-86.7233333333
-8.068838,-34.900394,-54.665,-59.165,-64.715,-64.24,-70.1525,-52.5025
-8.065456,-34.892818,-81.54,-64.79,-75.64,-71.99,-63.04,-67.64
-8.068849,-34.900265,-44.69,-55.4566666667,-61.5233333333,-60.39,-66.9233333333,-43.0566666667
-8.069221,-34.899311,-43.54,-54.99,-60.74,-63.69,-58.14,-44.79
-8.077023,-34.897827,-60.7233333333,-30.6566666667,-71.1233333333,-65.59,-73.8566666667,-79.7233333333
-8.068281,-34.890709,-70.7233333333,-74.99,-80.59,-60.99,-36.39,-72.7233333333
-8.071679,-34.900776,-69.6566666667,-62.8233333333,-65.9566666667,-59.99,-82.29,-79.29
-8.074692,-34.890453,-57.69,-74.19,-74.74,-44.14,-75.99,-92.44
-8.064395,-34.894382,-75.89,-62.4233333333,-70.6233333333,-81.19,-73.2233333333,-60.8566666667
-8.069779,-34.890491,-56.99,-75.49,-70.0233333333,-58.3566666667,-55.79,-53.69
-8.069905,-34.896305,-47.1233333333,-48.09,-57.49,-39.7233333333,-67.9233333333,-67.39
-8.067152,-34.894085,-53.6566666667,-70.79,-72.3566666667,-66.1233333333,-59.49,-43.2566666667
-8.077379,-34.898903,-67.1233333333,-37.4566666667,-69.3233333333,-74.29,-66.1566666667,-81.1566666667
-8.070078,-34.900883,-71.64,-70.94,-55.14,-66.84,-75.39,-67.89
-8.068918,-34.896057,-48.29,-62.2233333333,-62.39,-48.19,-64.39,-58.5566666667
-8.071198,-34.896976,-42.69,-65.1566666667,-61.7566666667,-53.89,-68.3566666667,-64.2233333333
-8.071126,-34.895706,-52.5233333333,-60.5233333333,-60.6233333333,-43.9233333333,-69.5233333333,-62.0233333333
-8.072952,-34.890656,-52.84,-71.44,-68.14,-48.59,-57.44,-78.64
-8.074266,-34.900337,-61.5566666667,-55.29,-42.0566666667,-62.89,-82.0566666667,-80.2233333333
-8.059566,-34.906521,-81.19,-74.94,-75.24,-75.84,-80.49,-73.64
-8.061207,-34.904453,-79.5233333333,-58.2566666667,-77.2566666667,-77.8233333333,-76.9233333333,-75.69
-8.066568,-34.896744,-57.59,-50.2566666667,-69.6233333333,-56.29,-69.9233333333,-38.4233333333
